Nombre,Canal,Año,Valoracion,Generos_TMDB,Sinopsis,Fecha_Primer_Episodio,Fecha_Ultimo_Episodio,Total_Episodios,Total_Temporadas,Estudios_Produccion,Pais_Origen,ID_TMDB
2 Perros Tontos,Cartoon Network,1993,7,"Animación, Comedia, Kids, Sci-Fi & Fantasy, Familia","La serie muestra las desventuras de dos perros, uno pequeño y otro grande los cuales no son nada inteligentes, además en algunos episodios los perros interactúan con sus dueños humanos, la serie incluye un segmento del inspector Ardilla.",1993-09-05,1995-02-13,52,2,"Hanna-Barbera Productions, Turner Program Services",US,1916
Caballeros del Zodiaco,Cartoon Network,1986,8,"Action & Adventure, Animación, Drama, Sci-Fi & Fantasy","Saintia Shō cuenta la historia de una muchacha llamada Shōko, quien de pequeña fue rescatada por un Santo de Oro de unos seres maligno cuando esta encontró una manzana dorada. En el presente, Shōko decide buscar a su hermana Kyōko a la que no ha visto durante cinco años. Shōko sabe que la fundación Graude fue la que se llevó a su hermana por lo que decide buscar a la actual jefa de dicha fundación, Saori Kido quien asiste a la misma escuela que ella.",2018-12-10,2019-02-11,10,1,"Toei Animation, GONZO",JP,78122
El Capitán Planeta y los planetarios,Cartoon Network,1990,7,"Animación, Action & Adventure, Sci-Fi & Fantasy, Kids","Al ver a la Tierra en su profundo peligro ambiental, Gaia, diosa de la Tierra, convoca a cinco jóvenes de todo el mundo para convertirse en los Planetarios, una fuerza opuesta para defenderse y educar a otros sobre la necesidad de ser responsables con el medioambiente. Para lograr esa tarea, cada joven recibe un anillo mágico que tiene el poder de la tierra, el viento, el agua, el fuego y el corazón. Cuando la amenaza a la que se enfrentan es demasiado grande para ellos, pueden combinar y amplificar sus poderes para crear Capitán Planeta, que tiene el poder de detener catástrofes ambientales, mientras que los Planetarios contribuyen con las cosas que cualquier persona puede y debe hacer para ayudar.",1990-09-15,1996-05-11,113,6,"Turner Program Services, DiC Entertainment, Hanna-Barbera Productions, TBS Productions",US,478
Code Lyoko,Cartoon Network,2003,7,"Sci-Fi & Fantasy, Animación, Comedia, Action & Adventure","En una academia de Boulogne-Billancourt (Francia) llamada Kadic, un alumno muy inteligente (superdotado), Jeremie Belpois, quiere adquirir materiales para la construcción de unos robots. Para conseguirlos, se dirige hacia una fábrica abandonada muy próxima a su academia donde encuentra un superordenador cuántico que pone en marcha. Al encender este superordenador, descubre un mundo virtual llamado Lyoko dividido en cuatro sectores (hielo, desierto, bosque y montañas), así como también la existencia de un virus informático malvado llamado XANA, y de una chica de su edad que se encuentra “virtualizada” llamada Aelita. Este hallazgo es comunicado a Ulrich Stern, Odd Della Robbia y Yumi Ishiyama, alumnos de la academia, que lucharán contra XANA.",2003-09-03,2007-11-10,95,4,"MoonScoop, Antefilms Production",FR,4622
Coraje El Perro Cobarde,Cartoon Network,1996,8,"Animación, Familia, Sci-Fi & Fantasy, Comedia, Kids","La historia trata sobre un perro llamado Agallas y sus dueños: Muriel, una vieja mujer escocesa, y Eustaquio, un viejo agricultor gruñón. Este perro vive para salvarles la vida de tenebrosos monstruos, extraterrestres y otras criaturas míticas.",1999-11-12,2002-11-22,102,4,Stretch Films,US,2085
Duck Dodgers,Cartoon Network,2003,7,"Animación, Comedia, Sci-Fi & Fantasy, Kids","Duck Dodgers es una serie televisiva animada americana, basado en el corto Duck Dodgers in the 24½th Century de 1953, producido por Warner Bros. Animation de 2003 a 2005.1 La serie es un cómic de ciencia ficción, con personajes de Looney Tunes como actores en papeles de metaficción, con el Pato Lucas como el héroe titular. Originalmente se transmitió en Cartoon Network y Boomerang.",2003-08-23,2005-11-11,67,3,"Warner Bros. Television, Warner Bros. Animation",US,216
Static Shock,Cartoon Network,2000,7,"Action & Adventure, Animación, Sci-Fi & Fantasy, Kids","Static, un superhéroe adolescente con poderes electromagnéticos, y  que es el álter ego de Virgil Ovid Hawkins, un estudiante de una ciudad  ficticia llamada Dakota.",2000-09-23,2004-05-22,52,4,Warner Bros. Animation,US,1487
Garfield,Cartoon Network,1988,7,"Animación, Comedia, Kids","Cada espectáculo se divide en historias sobre ya sea Garfield y Odie y en los problemas en los que se meten, u Orson el cerdo y sus aventuras en una granja con sus compañeros los animales de granja.",1988-09-17,1994-12-10,363,7,"Paws, United Media Productions, Lee Mendelson Film Productions, Film Roman",US,4606
Gasparin y sus amigos,Cartoon Network,1950,6,,,1990-01-01,1990-12-24,52,1,,MX,260376
Generador Rex,Cartoon Network,2010,8,"Animación, Action & Adventure, Kids, Familia","Serie de TV (2010-2013). Generator Rex (en Latinoamerica Generador Rex) es una serie de animación estadounidense creada por ""Man of Action"" (grupo formado por Duncan Rouleau, Joe Casey, Joe Kelly y Steven T. Seagle), creadores de Ben 10. Fue estrenada en Estados Unidos el 23 de abril de 2010. Se estrenó en Latinoamérica el día 29 de agosto de 2010. En España se estima su estreno en Cartoon Network para el día 15 de Enero de 2011. La serie cuenta las aventuras de un adolescente con superpoderes llamado Rex.",2010-04-23,2012-12-27,59,3,"Cartoon Network Studios, Man of Action Entertainment",US,32118
